ann_term	sum	annotation
PF06189	1	5'-nucleotidase
PF06200	919	tify domain
PF06201	113	PITH domain
PF06203	1689	CCT motif
PF06206	57	CpeT/CpcT family (DUF1001)
PF06211	3	BMP and activin membrane-bound inhibitor (BAMBI) N-terminal domain
PF06212	65	GRIM-19 protein
PF06217	265	GAGA binding protein-like family
PF06219	252	Protein of unknown function (DUF1005)
PF06220	186	U1 zinc finger
PF06221	52	Putative zinc finger motif, C2HC5-type
PF06232	212	Embryo-specific protein 3, (ATS3)
PF06240	1	Carbon monoxide dehydrogenase subunit G (CoxG)
PF06241	162	Castor and Pollux, part of voltage-gated ion channel
PF06244	61	Coiled-coil domain-containing protein 124 /Oxs1
PF06246	68	Isy1-like splicing family
PF06248	67	Centromere/kinetochore Zw10
PF06250	2	YhcG PDDEXK nuclease domain
PF06251	0	Capsule biosynthesis GfcC
PF06258	107	Mitochondrial fission ELM1
PF06268	32	Fascin domain
PF06273	205	Plant specific eukaryotic initiation factor 4B
PF06278	61	Condensin II complex subunit CAP-H2 or CNDH2, N-terminal
PF06280	1	Fn3-like domain
PF06288	0	Protein of unknown function (DUF1040)
PF06293	2	Lipopolysaccharide kinase (Kdo/WaaP) family
PF06298	132	Photosystem II protein Y (PsbY)
PF06311	1	NUMB domain
PF06314	7	Acetoacetate decarboxylase (ADC)
PF06320	77	GCN5-like protein 1 (GCN5L1)
PF06325	329	Ribosomal protein L11 methyltransferase (PrmA)
PF06331	64	Transcription factor TFIIH complex subunit Tfb5
PF06333	52	Mediator complex subunit 13 C-terminal domain
PF06337	125	DUSP domain
PF06351	122	Allene oxide cyclase
PF06364	201	Protein of unknown function (DUF1068)
PF06365	0	CD34/Podocalyxin family
PF06376	175	Arabinogalactan peptide
PF06390	0	Neuroendocrine-specific golgi protein P55 (NESP55)
PF06391	65	CDK-activating kinase assembly factor MAT1
PF06398	15	Integral peroxisomal membrane peroxin
PF06404	276	Phytosulfokine precursor protein (PSK)
PF06405	79	Red chlorophyll catabolite reductase (RCC reductase)
PF06414	132	Zeta toxin
PF06415	81	BPG-independent PGAM N-terminus (iPGM_N)
PF06417	61	Protein of unknown function (DUF1077)
PF06418	233	CTP synthase N-terminus
PF06419	61	Conserved oligomeric complex COG6
PF06421	109	GTP-binding protein LepA C-terminus
PF06422	1	CDR ABC transporter
PF06423	52	GWT1
PF06424	112	PRP1 splicing factor, N-terminal
PF06426	229	Serine acetyltransferase, N-terminal
PF06427	54	UDP-glucose:Glycoprotein Glucosyltransferase
PF06429	3	Flagellar basal body rod FlgEFG protein C-terminal
PF06432	71	Phosphatidylinositol N-acetylglucosaminyltransferase
PF06434	1	Aconitate hydratase 2 N-terminus
PF06445	0	GyrI-like small molecule binding domain
PF06449	27	Mitochondrial domain of unknown function (DUF1082)
PF06454	352	Protein of unknown function (DUF1084)
PF06455	2	NADH dehydrogenase subunit 5 C-terminus
PF06461	67	Domain of Unknown Function (DUF1086)
PF06463	61	Molybdenum Cofactor Synthesis C
PF06465	123	Domain of Unknown Function (DUF1087)
PF06467	1	MYM-type Zinc finger with FCS sequence motif
PF06470	239	SMC proteins Flexible Hinge Domain
PF06472	206	ABC transporter transmembrane region 2
PF06479	201	Ribonuclease 2-5A
PF06480	232	FtsH Extracellular
PF06481	1	COX Aromatic Rich Motif
PF06485	65	RNA-binding protein Tab2/Atab2
PF06487	74	Sin3 associated polypeptide p18 (SAP18)
PF06507	1096	Auxin response factor
PF06521	184	PAR1 protein
PF06522	183	NADH-ubiquinone reductase complex 1 MLRQ subunit
PF06533	25	Protein of unknown function (DUF1110)
PF06544	74	Protein of unknown function (DUF1115)
PF06547	155	Protein of unknown function (DUF1117)
PF06549	107	Protein of unknown function (DUF1118)
PF06550	0	Signal-peptide peptidase, presenilin aspartyl protease
PF06552	206	Plant specific mitochondrial import receptor subunit TOM20
PF06565	3	DUF1126 PH-like domain
PF06574	59	FAD synthetase
PF06580	0	Histidine kinase
PF06581	4	Mad1 and Cdc20-bound-Mad2 binding
PF06584	109	DIRP
PF06592	100	Protein of unknown function (DUF1138)
PF06596	102	Photosystem II reaction centre X protein (PsbX)
PF06602	69	Myotubularin-like phosphatase domain
PF06624	87	Ribosome associated membrane protein RAMP4
PF06628	137	Catalase-related immune-responsive
PF06629	0	MltA-interacting protein MipA
PF06632	57	DNA double-strand break repair and V(D)J recombination protein XRCC4
PF06640	10	P protein C-terminus
PF06644	59	ATP11 protein
PF06645	127	Microsomal signal peptidase 12 kDa subunit (SPC12)
PF06650	197	SHR-binding domain of vacuolar-sorting associated protein 13
PF06651	26	Protein of unknown function (DUF1163)
PF06658	63	Protein of unknown function (DUF1168)
PF06683	52	Protein of unknown function (DUF1184)
PF06689	1	ClpX C4-type zinc finger
PF06694	71	Plant nuclear matrix protein 1 (NMP1)
PF06695	60	Putative small multi-drug export protein
PF06697	293	Protein of unknown function (DUF1191)
PF06699	72	GPI biosynthesis protein family Pig-F
PF06703	77	Microsomal signal peptidase 25 kDa subunit (SPC25)
PF06708	115	Protein of unknown function (DUF1195)
PF06715	1	Gp5 C-terminal repeat (3 copies)
PF06719	2	AraC-type transcriptional regulator N-terminus
PF06721	13	Protein of unknown function (DUF1204)
PF06723	3	MreB/Mbl protein
PF06725	1	3D domain
PF06728	70	GPI transamidase subunit PIG-U
PF06732	74	Pescadillo N-terminus
PF06733	225	DEAD_2
PF06739	1	Beta-propeller repeat
PF06741	71	LsmAD domain
PF06746	62	Protein of unknown function (DUF1216)
PF06747	245	CHCH domain
PF06749	748	Protein of unknown function (DUF1218)
PF06750	0	Bacterial Peptidase A24 N-terminal domain
PF06760	104	Protein of unknown function (DUF1221)
PF06764	77	Protein of unknown function (DUF1223)
PF06775	158	Putative adipose-regulatory protein (Seipin)
PF06777	57	Helical and beta-bridge domain
PF06784	4	Uncharacterised protein family (UPF0240)
PF06792	65	Uncharacterised protein family (UPF0261)
PF06799	113	Conserved in the green lineage and diatoms 27
PF06803	64	Protein of unknown function (DUF1232)
PF06807	63	Pre-mRNA cleavage complex II protein Clp1
PF06809	1	Neural proliferation differentiation control-1 protein (NPDC1)
PF06813	1036	Nodulin-like
PF06814	434	Lung seven transmembrane receptor
PF06824	0	Metal-independent alpha-mannosidase (GH125)
PF06825	80	Heat shock factor binding protein 1
PF06827	51	Zinc finger found in FPG and IleRS
PF06830	378	Root cap
PF06831	62	Formamidopyrimidine-DNA glycosylase H2TH domain
PF06832	0	Penicillin-Binding Protein C-terminus Family
PF06833	1	Malonate decarboxylase gamma subunit (MdcE)
PF06838	49	Methionine gamma-lyase
PF06839	954	GRF zinc finger
PF06841	0	T4-like virus tail tube protein gp19
PF06842	61	Protein of unknown function (DUF1242)
PF06853	0	Protein of unknown function (DUF1249)
PF06858	148	Nucleolar GTP-binding protein 1 (NOG1)
PF06859	58	Bicoid-interacting protein 3 (Bin3)
PF06862	65	Utp25, U3 small nucleolar RNA-associated SSU processome protein 25
PF06870	69	A49-like RNA polymerase I associated factor
PF06875	1	Plethodontid receptivity factor PRF
PF06876	117	Plant self-incompatibility response (SCRL) protein
PF06880	233	Protein of unknown function (DUF1262)
PF06881	64	RNA polymerase II transcription factor SIII (Elongin) subunit A
PF06882	0	Protein of unknown function (DUF1263)
PF06883	50	RNA polymerase I, Rpa2 specific domain
PF06884	161	Protein of unknown function (DUF1264)
PF06886	685	Targeting protein for Xklp2 (TPX2) domain
PF06888	264	Putative Phosphatase
PF06890	0	Bacteriophage Mu Gp45 spike protein
PF06910	47	Male enhanced antigen 1 (MEA1)
PF06911	213	Senescence-associated protein
PF06916	113	Protein of unknown function (DUF1279)
PF06920	92	Dock homology region 2
PF06925	140	Monogalactosyldiacylglycerol (MGDG) synthase
PF06941	59	5' nucleotidase, deoxy (Pyrimidine), cytosolic type C protein (NT5C)
PF06943	643	LSD1 zinc finger
PF06955	1617	Xyloglucan endo-transglycosylase (XET) C-terminus
PF06957	114	Coatomer (COPI) alpha subunit C-terminus
PF06962	55	Putative rRNA methylase
PF06963	147	Ferroportin1 (FPN1)
PF06964	152	Alpha-L-arabinofuranosidase C-terminal domain
PF06965	1	Na+/H+ antiporter 1
PF06966	133	Protein of unknown function (DUF1295)
PF06968	62	Biotin and Thiamin Synthesis associated domain
PF06969	3	HemN C-terminal domain
PF06972	288	Protein of unknown function (DUF1296)
PF06974	509	WS/DGAT C-terminal domain
PF06978	60	Ribonucleases P/MRP protein subunit POP1
PF06979	60	Assembly, mitochondrial proton-transport ATP synth complex
PF06983	9	3-demethylubiquinone-9 3-methyltransferase
PF06984	59	Mitochondrial 39-S ribosomal protein L47 (MRP-L47)
PF06991	91	Microfibril-associated/Pre-mRNA processing
PF06999	120	Sucrase/ferredoxin-like
PF07000	55	Protein of unknown function (DUF1308)
PF07001	29	BAT2 N-terminus
PF07002	560	Copine
PF07005	59	Sugar-binding N-terminal domain
PF07007	0	Lysozyme inhibitor LprI
PF07011	223	Early Flowering 4 domain
PF07014	63	Hs1pro-1 protein C-terminus
PF07019	130	Rab5-interacting protein (Rab5ip)
PF07021	7	Methionine biosynthesis protein MetW
PF07027	0	Protein of unknown function (DUF1318)
PF07028	9	Protein of unknown function (DUF1319)
PF07034	79	Origin recognition complex (ORC) subunit 3 N-terminus
PF07035	61	Colon cancer-associated protein Mic1-like
PF07039	57	SGF29 tudor-like domain
PF07042	1	TrfA protein
PF07047	122	Optic atrophy 3 protein (OPA3)
PF07052	55	Hepatocellular carcinoma-associated antigen 59
PF07058	273	Microtubule-associated protein 70
PF07059	657	Protein of unknown function (DUF1336)
PF07063	73	Domain of unknown function (DUF1338)
PF07064	55	RIC1
PF07065	69	D123
PF07078	1	Forty-two-three protein
PF07082	125	Protein of unknown function (DUF1350)
PF07086	53	Jagunal, ER re-organisation during oogenesis
PF07092	0	Protein of unknown function (DUF1356)
PF07093	59	SGT1 protein
PF07095	0	Intracellular growth attenuator protein IgaA
PF07103	67	Protein of unknown function (DUF1365)
PF07106	59	TBPIP/Hop2 winged helix domain
PF07107	180	Wound-induced protein WI12
PF07109	54	Magnesium-protoporphyrin IX methyltransferase C-terminus
PF07118	0	Protein of unknown function (DUF1374)
PF07123	83	Photosystem II reaction centre W protein (PsbW)
PF07127	3	Late nodulin protein
PF07137	110	VDE lipocalin domain
PF07145	355	Ataxin-2 C-terminal region
PF07149	2	Pes-10
PF07152	1	YaeQ protein
PF07156	55	Prenylcysteine lyase
PF07159	39	Protein of unknown function (DUF1394)
PF07160	59	Spindle and kinetochore-associated protein 1
PF07168	140	Ureide permease
PF07172	244	Glycine rich protein family
PF07173	266	Glycine-rich domain-containing protein-like
PF07189	89	Splicing factor 3B subunit 10 (SF3b10)
PF07195	0	Flagellar hook-associated protein 2 C-terminus
PF07196	0	Flagellin hook IN motif
PF07197	10	Protein of unknown function (DUF1409)
PF07200	89	Modifier of rudimentary (Mod(r)) protein
PF07207	68	Light regulated protein Lir1
PF07223	166	UBA-like domain (DUF1421)
PF07224	128	Chlorophyllase
PF07227	468	PHD - plant homeodomain finger protein
PF07228	302	Stage II sporulation protein E (SpoIIE)
PF07231	70	Hs1pro-1 N-terminus
PF07244	55	Surface antigen variable number repeat
PF07247	1	Alcohol acetyltransferase
PF07250	471	Glyoxal oxidase N-terminus
PF07258	112	COMM domain
PF07264	53	Etoposide-induced protein 2.4 (EI24)
PF07265	9	Tapetum specific protein TAP35/TAP44
PF07279	282	Protein of unknown function (DUF1442)
PF07281	16	Insulin-induced protein (INSIG)
PF07287	71	Acyclic terpene utilisation family protein AtuA
PF07297	53	Dolichol phosphate-mannose biosynthesis regulatory protein (DPM2)
PF07298	56	NnrU protein
PF07303	50	Occludin homology domain
PF07304	3	Steroid receptor RNA activator (SRA1)
PF07333	198	S locus-related glycoprotein 1 binding pollen coat protein (SLR1-BP)
PF07343	91	Protein of unknown function (DUF1475)
PF07376	3	Prosystemin
PF07377	0	Protein of unknown function (DUF1493)
PF07386	61	Protein of unknown function (DUF1499)
PF07393	122	Exocyst complex component Sec10
PF07394	0	Protein of unknown function (DUF1501)
PF07409	0	Phage protein GP46
PF07429	0	4-alpha-L-fucosyltransferase glycosyl transferase group 56
PF07460	120	NUMOD3 motif
PF07466	138	Protein of unknown function (DUF1517)
PF07468	151	Agglutinin domain
PF07478	106	D-ala D-ala ligase C-terminus
PF07479	243	NAD-dependent glycerol-3-phosphate dehydrogenase C-terminus
PF07484	1	Phage Tail Collar Domain
PF07491	71	Protein phosphatase inhibitor
PF07494	0	Two component regulator propeller
PF07495	0	Y_Y_Y domain
PF07496	569	CW-type Zinc Finger
PF07497	1	Rho termination factor, RNA-binding domain
PF07498	123	Rho termination factor, N-terminal domain
PF07500	292	Transcription factor S-II (TFIIS), central domain
PF07503	1	HypF finger
PF07506	1	RepB plasmid partitioning protein
PF07508	3	Recombinase
PF07516	109	SecA Wing and Scaffold domain
PF07517	138	SecA DEAD-like domain
PF07519	0	Tannase and feruloyl esterase
PF07521	246	Zn-dependent metallo-hydrolase RNA specificity domain
PF07522	253	DNA repair metallo-beta-lactamase
PF07524	183	Bromodomain associated
PF07526	681	Associated with HOX
PF07529	142	HSA
PF07534	305	TLD
PF07539	67	Down-regulated in metastasis
PF07540	64	Nucleolar complex-associated protein
PF07541	87	Eukaryotic translation initiation factor 2 alpha subunit
PF07542	55	ATP12 chaperone protein
PF07544	17	RNA polymerase II transcription mediator complex subunit 9
PF07549	1	SecD/SecF GG Motif
PF07554	0	FIVAR domain
PF07557	92	Shugoshin C terminus
PF07559	1	Flagellar basal body protein FlaE
PF07569	60	TUP1-like enhancer of split
PF07571	98	TAF6 C-terminal HEAT repeat domain
PF07572	59	Bucentaur or craniofacial development
PF07574	63	Nse1 non-SMC component of SMC5-6 complex
PF07575	62	Nup85 Nucleoporin
PF07576	119	BRCA1-associated protein 2
PF07645	643	Calcium-binding EGF domain
PF07646	368	Kelch motif
PF07647	242	SAM domain (Sterile alpha motif)
PF07650	241	KH domain
PF07651	791	ANTH domain
PF07652	2	Flavivirus DEAD domain
PF07653	0	Variant SH3 domain
PF07660	1	Secretin and TonB N terminus short domain
PF07670	1	Nucleoside recognition
PF07676	550	WD40-like Beta Propeller Repeat
PF07678	0	A-macroglobulin TED domain
PF07683	175	Cobalamin synthesis protein cobW C-terminal domain
PF07685	1	CobB/CobQ-like glutamine amidotransferase domain
PF07687	535	Peptidase dimerisation domain
PF07690	2050	Major Facilitator Superfamily
PF07702	1	UTRA domain
PF07707	252	BTB And C-terminal Kelch
PF07712	160	Stress up-regulated Nod 19
PF07713	52	Protein of unknown function (DUF1604)
PF07714	22124	Protein tyrosine and serine/threonine kinase
PF07715	7	TonB-dependent Receptor Plug Domain
PF07716	298	Basic region leucine zipper
PF07717	956	Oligonucleotide/oligosaccharide-binding (OB)-fold
PF07718	93	Coatomer beta C-terminal region
PF07719	480	Tetratricopeptide repeat
PF07720	24	Tetratricopeptide repeat
PF07721	5	Tetratricopeptide repeat
PF07722	199	Peptidase C26
PF07723	878	Leucine Rich Repeat
PF07724	720	AAA domain (Cdc48 subfamily)
PF07725	916	Leucine Rich Repeat
PF07726	1	ATPase family associated with various cellular activities (AAA)
PF07727	3003	Reverse transcriptase (RNA-dependent DNA polymerase)
PF07728	410	AAA domain (dynein-related subfamily)
PF07729	1	FCD domain
PF07730	2	Histidine kinase
PF07731	2473	Multicopper oxidase
PF07732	2479	Multicopper oxidase
PF07733	1	Bacterial DNA polymerase III alpha NTPase domain
PF07734	1809	F-box associated
PF07738	214	Sad1 / UNC-like C-terminal
PF07740	1	Ion channel inhibitory toxin
PF07741	123	Brf1-like TBP-binding domain
PF07743	57	HSCB C-terminal oligomerisation domain
PF07744	261	SPOC domain
PF07748	265	Glycosyl hydrolases family 38 C-terminal domain
PF07749	76	Endoplasmic reticulum protein ERp29, C-terminal domain
PF07762	453	Protein of unknown function (DUF1618)
PF07765	645	KIP1-like protein
PF07766	206	LETM1-like protein
PF07767	63	Nop53 (60S ribosomal biogenesis)
PF07774	59	ER membrane protein complex subunit 1, C-terminal
PF07777	248	G-box binding protein MFMR
PF07779	150	10 TM Acyl Transferase domain found in Cas1p
PF07780	68	Spb1 C-terminal domain
PF07786	198	Protein of unknown function (DUF1624)
PF07794	2	Protein of unknown function (DUF1633)
PF07795	234	Protein of unknown function (DUF1635)
PF07796	2	Protein of unknown function (DUF1638)
PF07797	441	Protein of unknown function (DUF1639)
PF07798	110	Protein of unknown function (DUF1640)
PF07800	411	Protein of unknown function (DUF1644)
PF07802	123	GCK domain
PF07803	1	GSG1-like protein
PF07807	63	RED-like protein C-terminal region
PF07808	63	RED-like protein N-terminal region
PF07814	68	Wings apart-like protein regulation of heterochromatin
PF07816	490	Protein of unknown function (DUF1645)
PF07817	60	GLE1-like protein
PF07818	62	HCNGP-like protein
PF07819	101	PGAP1-like protein
PF07821	283	Alpha-amylase C-terminal beta-sheet domain
PF07823	64	Cyclic phosphodiesterase-like protein
PF07837	112	Formiminotransferase domain, N-terminal subdomain
PF07839	511	Plant calmodulin-binding domain
PF07842	166	GC-rich sequence DNA-binding factor-like protein
PF07847	348	PCO_ADO
PF07851	88	TMPIT-like protein
PF07855	63	Autophagy-related protein 101
PF07859	2228	alpha/beta hydrolase fold
PF07876	429	Stress responsive A/B Barrel Domain
PF07883	86	Cupin domain
PF07884	57	Vitamin K epoxide reductase family
PF07885	619	Ion channel
PF07887	690	Calmodulin binding protein-like
PF07889	227	Protein of unknown function (DUF1664)
PF07890	61	Rrp15p
PF07891	295	Protein of unknown function (DUF1666)
PF07893	384	Protein of unknown function (DUF1668)
PF07896	43	Protein of unknown function (DUF1674)
PF07897	157	Ethylene-responsive binding factor-associated repression
PF07899	711	Frigida-like protein
PF07904	37	Chromatin modification-related protein EAF7
PF07910	115	Peptidase family C78
PF07911	471	Protein of unknown function (DUF1677)
PF07915	54	Glucosidase II beta subunit-like protein
PF07918	108	CAP160 repeat
PF07926	54	TPR/MLP1/MLP2-like protein
PF07928	55	Vps54-like protein
PF07933	113	Protein of unknown function (DUF1681)
PF07934	55	8-oxoguanine DNA glycosylase, N-terminal domain
PF07939	410	Protein of unknown function (DUF1685)
PF07942	65	N2227-like protein
PF07944	144	Beta-L-arabinofuranosidase, GH127
PF07946	73	Protein of unknown function (DUF1682)
PF07947	0	YhhN family
PF07959	55	L-fucokinase
PF07962	55	Replication Fork Protection Component Swi3
PF07963	1	Prokaryotic N-terminal methylation motif
PF07967	129	C3HC zinc finger-like
PF07969	58	Amidohydrolase family
PF07970	256	Endoplasmic reticulum vesicle transporter
PF07971	1	Glycosyl hydrolase family 92
PF07973	269	Threonyl and Alanyl tRNA synthetase second additional domain
PF07974	66	EGF-like domain
PF07975	58	TFIIH C1-like domain
PF07977	85	FabA-like domain
PF07983	2491	X8 domain
PF07985	86	SRR1
PF07986	143	Tubulin binding cofactor C
PF07989	4	Centrosomin N-terminal motif 1
PF07990	272	Nucleic acid binding protein NABP
PF07991	90	Acetohydroxy acid isomeroreductase, NADPH-binding domain
PF07992	1312	Pyridine nucleotide-disulphide oxidoreductase
PF07993	489	Male sterility protein
PF07994	96	Myo-inositol-1-phosphate synthase
PF07995	163	Glucose / Sorbosone dehydrogenase
PF07996	1	Type IV secretion system proteins
PF08007	44	Cupin superfamily protein
PF08013	0	D-tagatose-1,6-bisphosphate aldolase subunit GatZ/KbaZ-like
PF08017	1	Fibrinogen binding protein
PF08019	2	Phosphoethanolamine transferase EptA/EptB
PF08022	769	FAD-binding domain
PF08027	34	Albumin I chain b
PF08029	66	HisG, C-terminal domain
PF08030	781	Ferric reductase NAD binding domain
PF08031	1215	Berberine and berberine like
PF08032	55	RNA 2'-O ribose methyltransferase substrate binding
PF08033	383	Sec23/Sec24 beta-sandwich domain
PF08038	76	TOM7 family
PF08041	66	PetM family of cytochrome b6f complex subunit 7
PF08045	56	Cell division control protein 14, SIN component
PF08059	130	SEP domain
PF08063	115	PADR1 (NUC008) domain
PF08064	54	UME (NUC010) domain
PF08066	50	PMC2NT (NUC016) domain
PF08068	85	DKCLD (NUC011) domain
PF08069	149	Ribosomal S13/S15 N-terminal domain
PF08071	153	RS4NT (NUC023) domain
PF08074	12	CHDCT2 (NUC038) domain
PF08079	208	Ribosomal L30 N-terminal domain
PF08082	68	PRO8NT (NUC069), PrP8 N-terminal domain
PF08083	68	PROCN (NUC071) domain
PF08084	65	PROCT (NUC072) domain
PF08100	1549	Dimerisation domain
PF08122	56	NADH-ubiquinone oxidoreductase B12 subunit family
PF08125	2	Mannitol dehydrogenase C-terminal domain
PF08127	79	Peptidase family C1 propeptide
PF08132	78	S-adenosyl-l-methionine decarboxylase leader peptide
PF08137	444	DVL family
PF08142	118	AARP2CN (NUC121) domain
PF08144	49	CPL (NUC119) domain
PF08145	70	BOP1NT (NUC169) domain
PF08146	57	BP28CT (NUC211) domain
PF08147	56	DBP10CT (NUC160) domain
PF08148	219	DSHCT (NUC185) domain
PF08149	67	BING4CT (NUC141) domain
PF08152	126	GUCT (NUC152) domain
PF08153	64	NGP1NT (NUC091) domain
PF08154	117	NLE (NUC135) domain
PF08155	92	NOGCT (NUC087) domain
PF08156	177	NOP5NT (NUC127) domain
PF08158	56	NUC130/3NT domain
PF08159	114	NUC153 domain
PF08161	132	NUC173 domain
PF08164	61	Apoptosis-antagonizing transcription factor, C-terminal
PF08167	55	rRNA processing/ribosome biogenesis
PF08170	57	POPLD (NUC188) domain
PF08172	57	CASP C terminal
PF08186	38	Wound-inducible basic protein family
PF08192	0	Peptidase family S64
PF08206	2	Ribonuclease B OB domain
PF08207	116	Elongation factor P (EF-P) KOW-like domain
PF08209	58	Sgf11 (transcriptional regulation protein)
PF08211	80	Cytidine and deoxycytidylate deaminase zinc-binding region
PF08212	153	Lipocalin-like domain
PF08213	52	Mitochondrial domain of unknown function (DUF1713)
PF08214	161	Histone acetylation protein
PF08216	55	Catenin-beta-like, Arm-motif containing nuclear
PF08220	0	DeoR-like helix-turn-helix domain
PF08221	60	RNA polymerase III subunit RPC82 helix-turn-helix domain
PF08224	97	Domain of unknown function (DUF1719)
PF08226	1	Domain of unknown function (DUF1720)
PF08231	66	SYF2 splicing factor
PF08234	71	Chromosome segregation protein Spc25
PF08235	148	LNS2 (Lipin/Ned1/Smp2)
PF08236	1	SRI (Set2 Rpb1 interacting) domain
PF08238	956	Sel1 repeat
PF08240	2243	Alcohol dehydrogenase GroES-like domain
PF08241	1715	Methyltransferase domain
PF08242	84	Methyltransferase domain
PF08243	104	SPT2 chromatin protein
PF08244	484	Glycosyl hydrolases family 32 C terminal
PF08245	257	Mur ligase middle domain
PF08246	1748	Cathepsin propeptide inhibitor domain (I29)
PF08263	15511	Leucine rich repeat N-terminal domain
PF08264	408	Anticodon-binding domain of tRNA ligase
PF08265	108	YL1 nuclear protein C-terminal domain
PF08267	164	Cobalamin-independent synthase, N-terminal domain
PF08268	1617	F-box associated domain
PF08271	157	TFIIB zinc-binding
PF08272	2	Topoisomerase I zinc-ribbon-like
PF08275	2	DNA primase catalytic core, N-terminal domain
PF08276	3270	PAN-like domain
PF08277	8	PAN-like domain
PF08278	1	DNA primase DnaG DnaB-binding
PF08279	1	HTH domain
PF08281	1	Sigma-70, region 4
PF08282	138	haloacid dehalogenase-like hydrolase
PF08283	2	Geminivirus rep protein central domain
PF08284	1241	Retroviral aspartyl protease
PF08285	74	Dolichol-phosphate mannosyltransferase subunit 3 (DPM3)
PF08286	2	Spc24 subunit of Ndc80
PF08288	70	PIGA (GPI anchor biosynthesis)
PF08292	63	RNA polymerase III subunit Rpc25
PF08293	70	Mitochondrial ribosomal subunit S27
PF08294	60	TIM21
PF08295	179	Sin3 family co-repressor
PF08298	3	PrkA AAA domain
PF08299	1	Bacterial dnaA protein helix-turn-helix
PF08302	26	Fungal tRNA ligase phosphodiesterase domain
PF08311	170	Mad3/BUB1 homology region 1
PF08312	126	cwf21 domain
PF08313	2	SCA7, zinc-binding domain
PF08314	93	Secretory pathway protein Sec39
PF08315	65	cwf18 pre-mRNA splicing factor
PF08318	68	COG4 transport protein
PF08320	59	PIG-X / PBN1
PF08321	58	PPP5 TPR repeat region
PF08323	447	Starch synthase catalytic domain
PF08324	60	PUL domain
PF08325	141	WLM domain
PF08326	65	Acetyl-CoA carboxylase, central region
PF08327	61	Activator of Hsp90 ATPase homolog 1-like protein
PF08328	80	Adenylosuccinate lyase C-terminal
PF08332	0	Calcium/calmodulin dependent protein kinase II association domain
PF08335	0	GlnD PII-uridylyltransferase
PF08337	1	Plexin cytoplasmic RasGAP domain
PF08338	55	Domain of unknown function (DUF1731)
PF08345	1	Flagellar M-ring protein C-terminal
PF08351	68	Domain of unknown function (DUF1726)
PF08352	1	Oligopeptide/dipeptide transporter, C-terminal region
PF08355	114	EF hand associated
PF08356	118	EF hand associated
PF08364	1	Bacterial translation initiation factor IF-2 associated region
PF08367	71	Peptidase M16C associated
PF08370	1098	Plant PDR ABC transporter associated
PF08372	745	Plant phosphoribosyltransferase C-terminal
PF08373	53	RAP domain
PF08375	90	Proteasome regulatory subunit C-terminal
PF08376	0	Nitrate and nitrite sensing
PF08378	58	Nuclease-related domain
PF08381	790	Transcription factor regulating root and shoot growth via Pin3
PF08386	9	TAP-like protein
PF08387	1955	FBD
PF08389	301	Exportin 1-like protein
PF08392	1151	FAE1/Type III polyketide synthase-like protein
PF08393	1	Dynein heavy chain, N-terminal region 2
PF08411	1	Exonuclease C-terminal
PF08414	441	Respiratory burst NADPH oxidase
PF08416	7	Phosphotyrosine-binding domain
PF08417	281	Pheophorbide a oxygenase
PF08418	27	DNA polymerase alpha subunit B N-terminal
PF08423	438	Rad51
PF08424	53	NRDE-2, necessary for RNA interference
PF08429	125	PLU-1-like protein
PF08433	64	Chromatin associated protein KTI12
PF08436	67	1-deoxy-D-xylulose 5-phosphate reductoisomerase C-terminal domain
PF08442	192	ATP-grasp domain
PF08443	1	RimK-like ATP-grasp domain
PF08445	2	FR47-like protein
PF08446	224	PAS fold
PF08447	7	PAS fold
PF08448	4	PAS fold
PF08449	253	UAA transporter family
PF08450	22	SMP-30/Gluconolactonase/LRE-like region
PF08458	343	Plant pleckstrin homology-like region
PF08468	1	Methyltransferase small domain N-terminal
PF08472	123	Sucrose-6-phosphate phosphohydrolase C-terminal
PF08477	41	Ras of Complex, Roc, domain of DAPkinase
PF08478	0	POTRA domain, FtsQ-type
PF08479	4	POTRA domain, ShlB-type
PF08482	0	ATP-dependent helicase C-terminal
PF08488	363	Wall-associated kinase
PF08490	64	Domain of unknown function (DUF1744)
PF08491	237	Squalene epoxidase
PF08492	57	SRP72 RNA-binding domain
PF08495	12	FIST N domain
PF08496	1	Peptidase family S49 N-terminal
PF08497	1	Radical SAM N-terminal
PF08498	182	Sterol methyltransferase C-terminal
PF08501	174	Shikimate dehydrogenase substrate binding domain
PF08502	103	LeuA allosteric (dimerisation) domain
PF08506	148	Cse1
PF08507	7	COPI associated protein
PF08510	70	PIG-P
PF08511	59	COQ9
PF08512	168	Histone chaperone Rttp106-like
PF08513	381	LisH
PF08514	54	STAG domain
PF08519	61	Replication factor RFC1 C terminal domain
PF08521	1	Two-component sensor kinase N-terminal
PF08523	138	Multiprotein bridging factor 1
PF08524	59	rRNA processing
PF08529	1	NusA N-terminal domain
PF08534	234	Redoxin
PF08536	135	Whirly transcription factor
PF08538	61	Protein of unknown function (DUF1749)
PF08540	106	Hydroxymethylglutaryl-coenzyme A synthase C terminal
PF08541	1109	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III C terminal
PF08542	172	Replication factor C C-terminal domain
PF08543	112	Phosphomethylpyrimidine kinase
PF08544	447	GHMP kinases C terminal
PF08545	69	3-Oxoacyl-[acyl-carrier-protein (ACP)] synthase III
PF08547	174	Complex I intermediate-associated protein 30 (CIA30)
