ann_term	sum	annotation
PF03349	80	Outer membrane protein transport protein (OMPP1/FadL/TodX)
PF03350	81	Uncharacterized protein family, UPF0114
PF03352	79	Methyladenine glycosylase
PF03354	109	Phage Terminase
PF03358	267	NADPH-dependent FMN reductase
PF03364	80	Polyketide cyclase / dehydrase and lipid transport
PF03372	243	Endonuclease/Exonuclease/phosphatase family
PF03374	52	Phage antirepressor protein KilAC domain
PF03379	80	CcmB protein
PF03389	19	MobA/MobL family
PF03400	102	IS1 transposase
PF03401	39	Tripartite tricarboxylate transporter family receptor
PF03406	326	Phage tail fibre repeat
PF03411	80	Penicillin-insensitive murein endopeptidase
PF03412	43	Peptidase C39 family
PF03417	1	Acyl-coenzyme A:6-aminopenicillanic acid acyl-transferase
PF03432	51	Relaxase/Mobilisation nuclease domain
PF03433	15	EspA-like secreted protein
PF03437	18	BtpA family
PF03441	81	FAD binding domain of DNA photolyase
PF03446	395	NAD binding domain of 6-phosphogluconate dehydrogenase
PF03447	161	Homoserine dehydrogenase, NAD binding domain
PF03449	161	Transcription elongation factor, N-terminal
PF03450	201	CO dehydrogenase flavoprotein C-terminal domain
PF03453	80	MoeA N-terminal region (domain I and II)
PF03454	80	MoeA C-terminal region (domain IV)
PF03458	320	UPF0126 domain
PF03459	311	TOBE domain
PF03460	241	Nitrite/Sulfite reductase ferredoxin-like half domain
PF03461	77	TRCF domain
PF03462	103	PCRF domain
PF03466	3480	LysR substrate binding domain
PF03471	474	Transporter associated domain
PF03472	77	Autoinducer binding domain
PF03473	159	MOSC domain
PF03475	80	3-alpha domain
PF03476	79	MOSC N-terminal beta barrel domain
PF03477	241	ATP cone domain
PF03479	62	Domain of unknown function (DUF296)
PF03480	174	Bacterial extracellular solute-binding protein, family 7
PF03483	78	B3/4 domain
PF03484	78	tRNA synthetase B5 domain
PF03485	80	Arginyl tRNA synthetase N terminal domain
PF03486	83	HI0933-like protein
PF03498	4	Cytolethal distending toxin A/C domain
PF03502	188	Nucleoside-specific channel-forming protein, Tsx
PF03513	1	Cloacin immunity protein
PF03515	3	Colicin-like bacteriocin tRNase domain
PF03524	23	Conjugal transfer protein
PF03526	20	Colicin E1 (microcin) immunity protein
PF03527	313	RHS protein
PF03544	128	Gram-negative bacterial TonB protein C-terminal
PF03547	159	Membrane transport protein
PF03548	94	Outer membrane lipoprotein carrier protein LolA
PF03549	15	Translocated intimin receptor (Tir) intimin-binding domain
PF03550	80	Outer membrane lipoprotein LolB
PF03551	89	Transcriptional regulator PadR-like family
PF03552	57	Cellulose synthase
PF03553	21	Na+/H+ antiporter family
PF03562	80	MltA specific insert domain
PF03572	80	Peptidase family S41
PF03573	121	outer membrane porin, OprD family
PF03575	80	Peptidase family S51
PF03588	81	Leucyl/phenylalanyl-tRNA protein transferase
PF03589	264	Antitermination protein
PF03590	80	Aspartate-ammonia ligase
PF03591	80	AzlC protein
PF03592	92	Terminase small subunit
PF03594	75	Benzoate membrane transport protein
PF03595	79	Voltage-dependent anion channel
PF03600	241	Citrate transporter
PF03601	80	Conserved hypothetical protein 698
PF03602	80	Conserved hypothetical protein 95
PF03603	80	DNA polymerase III psi subunit
PF03605	174	Anaerobic c4-dicarboxylate membrane transporter
PF03606	229	C4-dicarboxylate anaerobic carrier
PF03608	74	PTS system enzyme II sorbitol-specific factor
PF03609	305	PTS system sorbose-specific iic component
PF03610	391	PTS system fructose IIA component
PF03611	236	PTS system sugar-specific permease component
PF03612	73	Sorbitol phosphotransferase enzyme II N-terminus
PF03613	299	PTS system mannose/fructose/sorbose family IID component
PF03614	3	Repressor of phase-1 flagellin
PF03616	86	Sodium/glutamate symporter
PF03618	80	Kinase/pyrophosphorylase
PF03621	81	MbtH-like protein
PF03626	80	Prokaryotic Cytochrome C oxidase subunit IV
PF03627	23	PapG carbohydrate binding domain
PF03628	21	PapG chaperone-binding domain
PF03629	251	Carbohydrate esterase, sialic acid-specific acetylesterase
PF03631	160	Virulence factor BrkB
PF03632	77	Glycosyl hydrolase family 65 central catalytic domain
PF03633	76	Glycosyl hydrolase family 65, C-terminal domain
PF03636	77	Glycosyl hydrolase family 65, N-terminal domain
PF03641	80	Possible lysine decarboxylase
PF03649	78	Uncharacterised protein family (UPF0014)
PF03652	80	Holliday junction resolvase
PF03658	80	RnfH family Ubiquitin
PF03668	81	P-loop ATPase protein family
PF03691	47	Uncharacterised protein family (UPF0167)
PF03692	236	Putative zinc- or iron-chelating domain
PF03693	61	Bacterial antitoxin of ParD toxin-antitoxin type II system and RHH
PF03695	164	Uncharacterised protein family (UPF0149)
PF03701	79	Uncharacterised protein family (UPF0181)
PF03702	80	Anhydro-N-acetylmuramic acid kinase
PF03705	80	CheR methyltransferase, all-alpha domain
PF03706	81	Lysylphosphatidylglycerol synthase TM region
PF03709	395	Orn/Lys/Arg decarboxylase, N-terminal domain
PF03710	158	Glutamate-ammonia ligase adenylyltransferase
PF03711	395	Orn/Lys/Arg decarboxylase, C-terminal domain
PF03713	16	Domain of unknown function (DUF305)
PF03717	161	Penicillin-binding Protein dimerisation domain
PF03719	80	Ribosomal protein S5, C-terminal domain
PF03720	158	UDP-glucose/GDP-mannose dehydrogenase family, UDP binding domain
PF03721	167	UDP-glucose/GDP-mannose dehydrogenase family, NAD binding domain
PF03724	80	META domain
PF03725	242	3' exoribonuclease family, domain 2
PF03726	81	Polyribonucleotide nucleotidyltransferase, RNA binding domain
PF03729	170	Short repeat of unknown function (DUF308)
PF03733	160	Inner membrane component domain
PF03734	479	L,D-transpeptidase catalytic domain
PF03737	91	Aldolase/RraA
PF03738	242	Glutathionylspermidine synthase preATP-grasp
PF03739	291	Predicted permease YjgP/YjgQ family
PF03740	80	Pyridoxal phosphate biosynthesis protein PdxJ
PF03741	353	Integral membrane protein TerC family
PF03743	70	Bacterial conjugation TrbI-like protein
PF03746	81	LamB/YcsF family
PF03747	85	ADP-ribosylglycohydrolase
PF03748	97	Flagellar basal body-associated protein FliL
PF03749	80	Sugar fermentation stimulation protein
PF03755	80	YicC-like family, N-terminal region
PF03764	79	Elongation factor G, domain IV
PF03767	79	HAD superfamily, subfamily IIIB (Acid phosphatase)
PF03772	76	Competence protein
PF03773	191	Predicted permease
PF03775	80	Septum formation inhibitor MinC, C-terminal domain
PF03776	80	Septum formation topological specificity factor MinE
PF03783	77	Curli production assembly/transport component CsgG
PF03786	81	D-mannonate dehydratase (UxuA)
PF03788	104	LrgA family
PF03795	81	YCII-related domain
PF03796	134	DnaB-like helicase C terminal domain
PF03797	715	Autotransporter beta-domain
PF03799	80	Cell division protein FtsQ
PF03802	81	Apo-citrate lyase phosphoribosyl-dephospho-CoA transferase
PF03806	77	AbgT putative transporter family
PF03807	80	NADP oxidoreductase coenzyme F420-dependent
PF03808	82	Glycosyl transferase WecB/TagA/CpsF family
PF03811	63	InsA N-terminal domain
PF03812	85	2-keto-3-deoxygluconate permease
PF03814	81	Potassium-transporting ATPase A subunit
PF03819	160	MazG nucleotide pyrophosphohydrolase domain
PF03824	80	High-affinity nickel-transport protein
PF03825	220	Nucleoside H+ symporter
PF03829	80	PTS system glucitol/sorbitol-specific IIA component
PF03830	305	PTS system sorbose subfamily IIB component
PF03831	80	PhnA domain
PF03837	203	RecT family
PF03840	81	Preprotein translocase SecG subunit
PF03841	89	L-seryl-tRNA selenium transferase
PF03843	158	Outer membrane lipoprotein Slp family
PF03846	80	Cell division inhibitor SulA
PF03848	79	Tellurite resistance protein TehB
PF03852	80	DNA mismatch endonuclease Vsr
PF03853	81	YjeF-related protein N-terminus
PF03857	3	Colicin immunity protein
PF03860	1	Domain of Unknown Function (DUF326)
PF03864	186	Phage major capsid protein E
PF03865	23	Haemolysin secretion/activation protein ShlB/FhaC/HecB
PF03869	71	Arc-like DNA binding domain
PF03872	80	Anti sigma-E protein RseA, N-terminal domain
PF03873	80	Anti sigma-E protein RseA, C-terminal domain
PF03880	161	DbpA RNA binding domain
PF03881	79	Fructosamine kinase
PF03882	81	MukF winged-helix domain
PF03883	80	Peroxide stress protein YaaA
PF03884	78	DNA gyrase inhibitor YacG
PF03886	81	ABC-type transport auxiliary lipoprotein component
PF03887	84	YfbU domain
PF03888	100	MucB/RseB N-terminal domain
PF03889	80	Domain of unknown function
PF03891	158	Domain of unknown function (DUF333)
PF03892	80	Nitrate reductase cytochrome c-type subunit (NapB)
PF03895	101	YadA-like membrane anchor domain
PF03899	80	ATP synthase I chain
PF03900	80	Porphobilinogen deaminase, C-terminal domain
PF03903	1	Phage T4 tail fibre
PF03916	161	Polysulphide reductase, NrfD
PF03917	4	Eukaryotic glutathione synthase, ATP binding domain
PF03918	160	Cytochrome C biogenesis protein
PF03922	113	OmpW family
PF03923	80	Uncharacterized lipoprotein
PF03925	81	SeqA protein C-terminal domain
PF03927	80	NapD protein
PF03928	83	Haem-degrading
PF03932	79	CutC family
PF03934	108	Type II secretion system (T2SS), protein K
PF03937	80	Flavinator of succinate dehydrogenase
PF03938	80	Outer membrane protein (OmpH-like)
PF03942	80	DTW domain
PF03946	79	Ribosomal protein L11, N-terminal domain
PF03947	80	Ribosomal Proteins L2, C-terminal domain
PF03948	81	Ribosomal protein L9, C-terminal domain
PF03949	162	Malic enzyme, NAD binding domain
PF03950	81	tRNA synthetases class I (E and Q), anti-codon binding domain
PF03951	80	Glutamine synthetase, beta-Grasp domain
PF03952	80	Enolase, N-terminal domain
PF03956	79	Lysine exporter LysO
PF03958	423	Bacterial type II/III secretion system short domain
PF03960	245	ArsC family
PF03963	96	Flagellar hook capping protein - N-terminal region
PF03966	81	Trm112p-like protein
PF03968	161	OstA-like protein
PF03969	81	AFG1-like ATPase
PF03972	79	MmgE/PrpD family
PF03974	80	Ecotin
PF03979	79	Sigma-70 factor, region 1.1
PF03981	81	Ubiquinol-cytochrome C chaperone
PF03989	642	DNA gyrase C-terminal domain, beta-propeller
PF03992	151	Antibiotic biosynthesis monooxygenase
PF03994	151	Domain of Unknown Function (DUF350)
PF04002	330	RadC-like JAB domain
PF04011	30	LemA family
PF04012	156	PspA/IM30 family
PF04014	169	Antidote-toxin recognition MazE, bacterial antitoxin
PF04023	79	FeoA domain
PF04024	81	PspC domain
PF04052	80	TolB amino-terminal domain
PF04055	1581	Radical SAM superfamily
PF04060	80	Putative Fe-S cluster
PF04069	240	Substrate binding domain of ABC-type glycine betaine transport system
PF04073	238	Aminoacyl-tRNA editing domain
PF04074	340	Domain of unknown function (DUF386)
PF04076	168	Bacterial OB fold (BOF) protein
PF04077	80	DsrH like protein
PF04085	81	rod shape-determining protein MreC
PF04093	81	rod shape-determining protein MreD
PF04095	78	Nicotinate phosphoribosyltransferase (NAPRTase) family
PF04098	5	Rad52/22 family double-strand break repair protein
PF04101	81	Glycosyltransferase family 28 C-terminal domain
PF04102	79	SlyX
PF04107	81	Glutamate-cysteine ligase family 2(GCS2)
PF04115	79	Ureidoglycolate lyase
PF04116	15	Fatty acid hydroxylase superfamily
PF04127	80	DNA / pantothenate metabolism flavoprotein
PF04131	91	Putative N-acetylmannosamine-6-phosphate epimerase
PF04138	5	GtrA-like protein
PF04143	218	Sulphur transport
PF04151	79	Bacterial pre-peptidase C-terminal domain
PF04166	110	Pyridoxal phosphate biosynthetic protein PdxA
PF04170	80	NlpE N-terminal domain
PF04172	104	LrgB-like family
PF04175	159	Protein of unknown function (DUF406)
PF04181	22	Rtr1/RPAP2 family
PF04183	68	IucA / IucC family
PF04186	78	FxsA cytoplasmic membrane protein
PF04187	9	Haem-binding uptake, Tiki superfamily, ChaN
PF04191	1	Phospholipid methyltransferase
PF04193	5	PQ loop repeat
PF04198	144	Putative sugar-binding domain
PF04204	82	Homoserine O-succinyltransferase
PF04205	94	FMN-binding domain
PF04214	16	Protein of unknown function, DUF
PF04216	80	Protein involved in formate dehydrogenase formation
PF04217	80	Protein of unknown function, DUF412
PF04219	80	Protein of unknown function, DUF
PF04220	80	Der GTPase activator (YihI)
PF04221	70	RelB antitoxin
PF04222	79	Protein of unknown function (DUF416)
PF04223	81	Citrate lyase, alpha subunit (CitF)
PF04224	96	Protein of unknown function, DUF417
PF04225	80	Opacity-associated protein A LysM-like domain
PF04226	157	Transglycosylase associated protein
PF04227	81	Indigoidine synthase A like protein
PF04228	81	Putative neutral zinc metallopeptidase
PF04230	80	Polysaccharide pyruvyl transferase
PF04231	80	Endonuclease I
PF04233	39	Phage Mu protein F like protein
PF04234	95	CopC domain
PF04235	80	Protein of unknown function (DUF418)
PF04237	160	YjbR
PF04239	80	Protein of unknown function (DUF421)
PF04241	80	Protein of unknown function (DUF423)
PF04245	87	37-kD nucleoid-associated bacterial protein
PF04246	80	Positive regulator of sigma(E), RseC/MucC
PF04247	80	Invasion gene expression up-regulator, SirB
PF04257	80	Exodeoxyribonuclease V, gamma subunit
PF04261	158	Dyp-type peroxidase family
PF04262	80	Glutamate-cysteine ligase
PF04264	78	YceI-like domain
PF04266	129	ASCH domain
PF04269	80	Protein of unknown function, DUF440
PF04279	80	Intracellular septation protein A
PF04284	77	Protein of unknown function (DUF441)
PF04285	80	Protein of unknown function (DUF444)
PF04286	80	Protein of unknown function (DUF445)
PF04287	80	tRNA pseudouridine synthase C
PF04288	80	MukE-like family
PF04290	169	Tripartite ATP-independent periplasmic transporters, DctQ component
PF04293	80	SpoVR like protein
PF04295	210	D-galactarate dehydratase / Altronate hydrolase, C terminus
PF04303	75	PrpF protein
PF04304	80	Protein of unknown function (DUF454)
PF04307	157	LexA-binding, inner membrane-associated putative hydrolase
PF04309	77	Glycerol-3-phosphate responsive antiterminator
PF04310	80	MukB N-terminal
PF04313	69	Type I restriction enzyme R protein N terminus (HSDR_N)
PF04315	80	Elongation factor P hydroxylase
PF04316	96	Anti-sigma-28 factor, FlgM
PF04317	80	YcjX-like family, DUF463
PF04320	80	Protein with unknown function (DUF469)
PF04321	37	RmlD substrate binding domain
PF04324	238	BFD-like [2Fe-2S] binding domain
PF04325	79	Protein of unknown function (DUF465)
PF04326	2	Putative DNA-binding domain
PF04328	161	Selenoprotein, putative
PF04333	80	MlaA lipoprotein
PF04335	23	VirB8 protein
PF04336	80	Acyl carrier protein phosphodiesterase
PF04337	79	Protein of unknown function, DUF480
PF04338	80	Protein of unknown function, DUF481
PF04340	80	Protein of unknown function, DUF484
PF04341	80	Protein of unknown function, DUF485
PF04343	79	Protein of unknown function, DUF488
PF04344	80	Chemotaxis phosphatase, CheZ
PF04345	80	Chorismate lyase
PF04346	79	Ethanolamine utilisation protein, EutH
PF04347	80	Flagellar biosynthesis protein, FliO
PF04348	98	LppC putative lipoprotein
PF04349	157	Periplasmic glucan biosynthesis protein, MdoG
PF04352	170	ProQ/FINO family
PF04353	79	Regulator of RNA polymerase sigma(70) subunit, Rsd/AlgQ
PF04354	80	ZipA, C-terminal FtsZ-binding domain
PF04355	168	SmpA / OmlA family
PF04356	80	Protein of unknown function (DUF489)
PF04357	80	TamB, inner membrane protein subunit of TAM complex
PF04358	80	DsrC like protein
PF04359	81	Protein of unknown function (DUF493)
PF04361	80	Protein of unknown function (DUF494)
PF04362	80	Bacterial Fe(2+) trafficking
PF04363	80	Protein of unknown function (DUF496)
PF04364	80	DNA polymerase III chi subunit, HolC
PF04365	26	Ribonuclease toxin, BrnT, of type II toxin-antitoxin system
PF04375	80	HemX, putative uroporphyrinogen-III C-methyltransferase
PF04378	80	Ribosomal RNA large subunit methyltransferase D, RlmJ
PF04379	80	ApaG domain
PF04380	81	Membrane fusogenic activity
PF04381	86	Putative exonuclease, RdgC
PF04383	86	KilA-N domain
PF04384	80	Iron-sulphur cluster assembly
PF04386	81	Stringent starvation protein B
PF04389	130	Peptidase family M28
PF04390	81	Lipopolysaccharide-assembly
PF04391	80	Protein of unknown function (DUF533)
PF04393	96	Protein of unknown function (DUF535)
PF04397	160	LytTr DNA-binding domain
PF04399	79	Glutaredoxin 2, C terminal domain
PF04402	97	Protein of unknown function (DUF541)
PF04403	320	Paraquat-inducible protein A
PF04404	23	ERF superfamily
PF04405	80	Domain of Unknown function (DUF542)
PF04408	160	Helicase associated domain (HA2)
PF04411	1	PD-(D/E)XK nuclease superfamily
PF04413	80	3-Deoxy-D-manno-octulosonic-acid transferase (kdotransferase)
PF04422	1	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit N-term
PF04432	1	Coenzyme F420 hydrogenase/dehydrogenase, beta subunit C terminus
PF04434	143	SWIM zinc finger
PF04445	80	Putative SAM-dependent methyltransferase
PF04447	20	Protein of unknown function (DUF550)
PF04448	142	Protein of unknown function (DUF551)
PF04449	33	CS1 type fimbrial major subunit
PF04452	80	RNA methyltransferase
PF04453	80	Organic solvent tolerance protein
PF04461	80	Protein of unknown function (DUF520)
PF04463	8	Protein of unknown function (DUF523)
PF04464	10	CDP-Glycerol:Poly(glycerophosphate) glycerophosphotransferase
PF04465	1	Protein of unknown function (DUF499)
PF04466	17	Phage terminase large subunit
PF04471	46	Restriction endonuclease
PF04474	79	Protein of unknown function (DUF554)
PF04480	42	Protein of unknown function (DUF559)
PF04492	87	Bacteriophage replication protein O
PF04493	77	Endonuclease V
PF04519	1	Polymer-forming cytoskeletal
PF04536	173	TPM domain
PF04539	230	Sigma-70 region 3
PF04542	454	Sigma-70 region 2
PF04545	340	Sigma-70, region 4
PF04546	79	Sigma-70, non-essential region
PF04550	25	Phage holin family 2
PF04551	80	GcpE protein
PF04552	81	Sigma-54, DNA binding domain
PF04560	79	RNA polymerase Rpb2, domain 7
PF04561	159	RNA polymerase Rpb2, domain 2
PF04563	79	RNA polymerase beta subunit
PF04565	80	RNA polymerase Rpb2, domain 3
PF04586	107	Caudovirus prohead serine protease
PF04606	129	Ogr/Delta-like zinc finger
PF04607	164	Region found in RelA / SpoT proteins
PF04608	80	Phosphatidylglycerophosphatase A
PF04610	34	TrbL/VirB6 plasmid conjugal transfer protein
PF04612	117	Type II secretion system (T2SS), protein M
PF04613	80	UDP-3-O-[3-hydroxymyristoyl] glucosamine N-acyltransferase, LpxD
PF04616	1	Glycosyl hydrolases family 43
PF04619	5	Dr-family adhesin
PF04632	308	Fusaric acid resistance protein family
PF04655	31	Aminoglycoside/hydroxyurea antibiotic resistance kinase
PF04657	139	Putative inner membrane exporter, YdcZ
PF04703	50	FaeA-like protein
PF04715	159	Anthranilate synthase component I, N terminal region
PF04717	105	Type VI secretion system, phage-baseplate injector
PF04728	161	Lipoprotein leucine-zipper
PF04741	43	InvH outer membrane lipoprotein
PF04748	80	Divergent polysaccharide deacetylase
PF04751	80	Protein of unknown function (DUF615)
PF04752	83	ChaC-like protein
PF04754	395	Putative transposase, YhgA-like
PF04760	164	Translation initiation factor IF-2, N-terminal region
PF04765	1	Protein of unknown function (DUF616)
PF04773	43	FecR protein
PF04794	79	YdjC-like protein
PF04796	3	Plasmid encoded RepA protein
PF04806	110	EspF protein repeat
PF04809	158	HupH hydrogenase expression protein, C-terminal conserved region
PF04829	10	Pre-toxin domain with VENN motif
PF04837	3	MbeB-like, N-term conserved region
PF04851	381	Type III restriction enzyme, res subunit
PF04860	159	Phage portal protein
PF04865	143	Baseplate J-like protein
PF04879	626	Molybdopterin oxidoreductase Fe4S4 domain
PF04883	77	Bacteriophage HK97-gp10, putative tail-component
PF04888	12	Secretion system effector C (SseC) like family
PF04898	78	Glutamate synthase central domain
PF04899	3	MbeD/MobD like
PF04909	8	Amidohydrolase
PF04917	17	Bacterial shufflon protein, N-terminal constant region
PF04932	79	O-Antigen ligase
PF04940	68	Sensors of blue-light using FAD
PF04945	30	YHS domain
PF04952	80	Succinylglutamate desuccinylase / Aspartoacylase family
PF04954	81	Siderophore-interacting protein
PF04956	18	TrbC/VIRB2 family
PF04957	80	Ribosome modulation factor
PF04958	80	Arginine N-succinyltransferase beta subunit
PF04960	158	Glutaminase
PF04962	81	KduI/IolB family
PF04963	81	Sigma-54 factor, core binding domain
PF04965	258	Gene 25-like lysozyme
PF04970	1	Lecithin retinol acyltransferase
PF04971	312	Bacteriophage P21 holin S
PF04972	402	BON domain
PF04973	101	Nicotinamide mononucleotide transporter
PF04976	167	DMSO reductase anchor subunit (DmsC)
PF04977	80	Septum formation initiator
PF04983	79	RNA polymerase Rpb1, domain 3
PF04984	135	Phage tail sheath protein subtilisin-like domain
PF04985	112	Phage tail tube protein FII
PF04986	27	Putative transposase
PF04993	79	TfoX N-terminal domain
PF04994	79	TfoX C-terminal domain
PF04995	80	Heme exporter protein D (CcmD)
PF04996	80	Succinylarginine dihydrolase
PF04997	79	RNA polymerase Rpb1, domain 1
PF04998	79	RNA polymerase Rpb1, domain 5
PF04999	80	Cell division protein FtsL
PF05000	79	RNA polymerase Rpb1, domain 4
PF05013	1	N-formylglutamate amidohydrolase
PF05014	4	Nucleoside 2-deoxyribosyltransferase
PF05015	46	RelE-like toxin of type II toxin-antitoxin system HigB
PF05016	155	ParE toxin of type II toxin-antitoxin system, parDE
PF05025	159	RbsD / FucU transport protein family
PF05034	15	Methylaspartate ammonia-lyase N-terminus
PF05035	102	2-keto-3-deoxy-galactonokinase
PF05036	320	Sporulation related domain
PF05043	32	Mga helix-turn-helix domain
PF05052	15	MerE protein
PF05057	3	Putative serine esterase (DUF676)
PF05063	21	MT-A70
PF05065	109	Phage capsid family
PF05066	1	HB1, ASXL, restriction endonuclease HTH domain
PF05067	7	Manganese containing catalase
PF05068	162	Mannitol repressor
PF05069	128	Phage virion morphogenesis family
PF05099	139	Tellurite resistance protein TerB
PF05100	291	Phage minor tail protein L
PF05101	24	Type IV secretory pathway, VirB3-like protein
PF05106	62	Phage holin family (Lysis protein S)
PF05116	1	Sucrose-6F-phosphate phosphohydrolase
PF05117	2	Family of unknown function (DUF695)
PF05119	50	Phage terminase, small subunit
PF05125	87	Phage major capsid protein, P2 family
PF05127	81	Helicase
PF05128	80	Domain of unknown function (DUF697)
PF05130	96	FlgN protein
PF05134	111	Type II secretion system (T2SS), protein L
PF05135	112	Phage gp6-like head-tail connector protein
PF05136	209	Phage portal protein, lambda family
PF05137	80	Fimbrial assembly protein (PilN)
PF05138	73	Phenylacetic acid catabolic protein
PF05139	1	Erythromycin esterase
PF05144	6	Phage replication protein CRI
PF05145	79	Transition state regulatory protein AbrB
PF05155	6	Phage X family
PF05157	141	Type II secretion system (T2SS), protein E, N-terminal domain
PF05159	121	Capsule polysaccharide biosynthesis protein
PF05164	80	Cell division protein ZapA
PF05166	80	YcgL domain
PF05168	2	HEPN domain
PF05170	250	AsmA family
PF05171	82	Haemin-degrading HemS.ChuX domain
PF05173	80	Dihydrodipicolinate reductase, C-terminus
PF05175	367	Methyltransferase small domain
PF05187	3	Electron transfer flavoprotein-ubiquinone oxidoreductase, 4Fe-4S
PF05188	80	MutS domain II
PF05189	80	RNA 3'-terminal phosphate cyclase (RTC), insert domain
PF05190	80	MutS family domain IV
PF05191	80	Adenylate kinase, active site lid
PF05192	80	MutS domain III
PF05193	383	Peptidase M16 inactive domain
PF05194	12	UreE urease accessory protein, C-terminal domain
PF05195	80	Aminopeptidase P, N-terminal domain
PF05198	78	Translation initiation factor IF-3, N-terminal domain
PF05199	77	GMC oxidoreductase
PF05201	80	Glutamyl-tRNAGlu reductase, N-terminal domain
PF05209	80	Septum formation inhibitor MinC, N-terminal domain
PF05222	80	Alanine dehydrogenase/PNT, N-terminal domain
PF05230	79	MASE2 domain
PF05231	316	MASE1
PF05239	80	PRC-barrel domain
PF05247	79	Flagellar transcriptional activator (FlhD)
PF05257	80	CHAP domain
PF05261	49	TraM protein, DNA-binding
PF05268	8	Phage tail fibre adhesin Gp38
PF05269	75	Bacteriophage CII protein
PF05272	4	Virulence-associated protein E
PF05275	15	Copper resistance protein B precursor (CopB)
PF05277	3	Protein of unknown function (DUF726)
PF05280	80	Flagellar transcriptional activator (FlhC)
PF05307	1	Bundlin
PF05309	45	TraE protein
PF05321	303	Haemolysin expression modulating protein
PF05322	81	NINE Protein
PF05336	80	L-rhamnose mutarotase
PF05343	149	M42 glutamyl aminopeptidase
PF05354	137	Phage Head-Tail Attachment
PF05357	3	Phage Coat Protein A
PF05358	138	DicB protein
PF05360	234	yiaA/B two helix domain
PF05362	166	Lon protease (S16) C-terminal proteolytic domain
PF05368	80	NmrA-like family
PF05371	1	Phage major coat protein, Gp8
PF05400	80	Flagellar protein FliT
PF05406	102	WGR domain
PF05420	78	Cellulose synthase operon protein C C-terminus (BCSC_C)
PF05425	94	Copper resistance protein D
PF05430	80	S-adenosyl-L-methionine-dependent methyltransferase
PF05433	319	Glycine zipper 2TM domain
PF05437	80	Branched-chain amino acid transport protein (AzlD)
PF05443	4	ROS/MUCR transcriptional regulator protein
PF05448	2	Acetyl xylan esterase (AXE1)
PF05449	38	Putative 3TM holin, Phage_holin_3
PF05472	84	DNA replication terminus site-binding protein (Ter protein)
PF05488	96	PAAR motif
PF05489	103	Phage Tail Protein X
PF05491	80	Holliday junction DNA helicase ruvB C-terminus
PF05494	81	MlaC protein
PF05496	80	Holliday junction DNA helicase ruvB N-terminus
PF05509	52	TraY domain
PF05513	39	TraA
PF05521	111	Phage head-tail joining protein
PF05523	9	WxcM-like, C-terminal
PF05524	404	PEP-utilising enzyme, N-terminal
PF05525	80	Branched-chain amino acid transport protein
PF05526	2	Rhodococcus equi virulence-associated protein
PF05532	80	CsbD-like
PF05534	61	HicB family
PF05552	79	Conserved TM helix
PF05565	16	Siphovirus Gp157
PF05591	89	Type VI secretion system, VipA, VC_A0107 or Hcp2
PF05593	1681	RHS Repeat
PF05594	117	Haemagluttinin repeat
PF05598	106	Transposase domain (DUF772)
PF05621	9	Bacterial TniB protein
PF05638	250	Type VI secretion system effector, Hcp
PF05651	79	Putative sugar diacid recognition
PF05656	236	Protein of unknown function (DUF805)
PF05658	642	Head domain of trimeric autotransporter adhesin
PF05661	81	Protein of unknown function (DUF808)
PF05662	818	Coiled stalk of trimeric autotransporter adhesin
PF05666	160	Fels-1 Prophage Protein-like
PF05681	256	Fumarate hydratase (Fumerase)
PF05683	256	Fumarase C-terminus
PF05688	249	Salmonella repeat of unknown function (DUF824)
PF05689	272	Salmonella repeat of unknown function (DUF823)
PF05690	79	Thiazole biosynthesis protein ThiG
PF05696	65	Protein of unknown function (DUF826)
PF05697	80	Bacterial trigger factor protein (TF)
PF05698	80	Bacterial trigger factor protein (TF) C-terminus
PF05704	1	Capsular polysaccharide synthesis protein
PF05707	7	Zonular occludens toxin (Zot)
PF05708	213	Permuted papain-like amidase enzyme, YaeF/YiiX, C92 family
PF05713	22	Bacterial mobilisation protein (MobC)
PF05717	462	IS66 Orf2 like protein
PF05728	159	Uncharacterised protein family (UPF0227)
PF05732	7	Firmicute plasmid replication protein (RepL)
PF05746	160	DALR anticodon binding domain
PF05762	156	VWA domain containing CoxE-like protein
PF05766	53	Bacteriophage Lambda NinG protein
PF05772	93	NinB protein
PF05775	14	Enterobacteria AfaD invasin protein
PF05785	4	Rho-activating domain of cytotoxic necrotizing factor
PF05787	4	Bacterial protein of unknown function (DUF839)
PF05802	15	Enterobacterial EspB protein
PF05810	58	NinF protein
PF05816	2	Toxic anion resistance protein (TelA)
PF05818	49	Enterobacterial TraT complement resistance protein
PF05838	3	Glycosyl hydrolase 108
PF05840	84	Bacteriophage replication gene A protein (GPA)
PF05845	79	Bacterial phosphonate metabolism protein (PhnH)
PF05857	58	TraX protein
PF05860	18	haemagglutination activity domain
PF05861	79	Bacterial phosphonate metabolism protein (PhnI)
PF05866	271	Endodeoxyribonuclease RusA
PF05869	96	DNA N-6-adenine-methyltransferase (Dam)
PF05872	80	Bacterial protein of unknown function (DUF853)
PF05876	206	Phage terminase large subunit (GpA)
PF05887	3	Procyclic acidic repetitive protein (PARP)
PF05899	79	Protein of unknown function (DUF861)
PF05926	80	Phage head completion protein (GPL)
PF05929	80	Phage capsid scaffolding protein (GPO) serine peptidase
